d,popt,gdppc,t,tau,exports,expart_rate,trade_elasticity
ITA,0.2003417713731184,0.6590256342681923,75,0.9687061217476565,188.1862943068526306,0.1214029680857650,4.0413759439731329
ITA,0.2003417713731184,0.6590256342681923,76,0.9687061217476565,188.1863031685189753,0.1214030418457344,4.0413763909134230
ITA,0.2003417713731184,0.6590256342681923,77,0.9687061217476565,188.1863110807967701,0.1214031080121582,4.0413767899710527
ITA,0.2003417713731184,0.6590256342681923,78,0.9687061217476565,188.1863181466306116,0.1214031673707616,4.0413771463380650
ITA,0.2003417713731184,0.6590256342681923,79,0.9687061217476565,188.1863244576401542,0.1214032206254619,4.0413774646353220
ITA,0.2003417713731184,0.6590256342681923,80,0.9687061217476565,188.1863300953874614,0.1214032684069516,4.0413777489764300
ITA,0.2003417713731184,0.6590256342681923,81,0.9687061217476565,188.1863351325004317,0.1214033112803730,4.0413780030243975
ITA,0.2003417713731184,0.6590256342681923,82,0.9687061217476565,188.1863396336664778,0.1214033497521798,4.0413782300417527
ITA,0.2003417713731184,0.6590256342681923,83,0.9687061217476565,188.1863436565150778,0.1214033842762752,4.0413784329350495
ITA,0.2003417713731184,0.6590256342681923,84,0.9687061217476565,188.1863472524001111,0.1214034152595012,4.0413786142943371
ITA,0.2003417713731184,0.6590256342681923,85,0.9687061217476565,188.1863504670934901,0.1214034430665509,4.0413787764281350
ITA,0.2003417713731184,0.6590256342681923,86,0.9687061217476565,188.1863533414008316,0.1214034680243635,4.0413789213944797
ITA,0.2003417713731184,0.6590256342681923,87,0.9687061217476565,188.1863559117081763,0.1214034904260561,4.0413790510285157
ITA,0.2003417713731184,0.6590256342681923,88,0.9687061217476565,188.1863582104670058,0.1214035105344453,4.0413791669669390
ITA,0.2003417713731184,0.6590256342681923,89,0.9687061217476565,188.1863602666269912,0.1214035285851971,4.0413792706698333
ITA,0.2003417713731184,0.6590256342681923,90,0.9687061217476565,188.1863621060166452,0.1214035447896486,4.0413793634398649
ITA,0.2003417713731184,0.6590256342681923,91,0.9687061217476565,188.1863637516862866,0.1214035593373326,4.0413794464395831
